group,fires
1992-01,113
1992-02,268
1992-03,306
1992-04,268
1992-05,220
1992-06,136
1992-07,119
1992-08,144
1992-09,79
1992-10,123
1992-11,30
1992-12,32
1993-01,46
1993-02,146
1993-03,221
1993-04,244
1993-05,168
1993-06,206
1993-07,236
1993-08,164
1993-09,111
1993-10,100
1993-11,96
1993-12,64
1994-01,100
1994-02,206
1994-03,439
1994-04,282
1994-05,164
1994-06,195
1994-07,272
1994-08,195
1994-09,81
1994-10,53
1994-11,107
1994-12,42
1995-01,41
1995-02,232
1995-03,344
1995-04,288
1995-05,150
1995-06,121
1995-07,179
1995-08,168
1995-09,164
1995-10,140
1995-11,87
1995-12,91
1996-01,111
1996-02,438
1996-03,330
1996-04,325
1996-05,164
1996-06,198
1996-07,233
1996-08,259
1996-09,93
1996-10,82
1996-11,47
1996-12,50
1997-01,86
1997-02,107
1997-03,280
1997-04,284
1997-05,142
1997-06,87
1997-07,168
1997-08,107
1997-09,140
1997-10,98
1997-11,52
1997-12,39
1998-01,48
1998-02,101
1998-03,234
1998-04,209
1998-05,124
1998-06,230
1998-07,230
1998-08,240
1998-09,170
1998-10,155
1998-11,125
1998-12,78
1999-01,93
1999-02,218
1999-03,355
1999-04,362
1999-05,157
1999-06,149
1999-07,178
1999-08,366
1999-09,280
1999-10,219
1999-11,296
1999-12,148
2000-01,151
2000-02,300
2000-03,360
2000-04,241
2000-05,238
2000-06,209
2000-07,376
2000-08,435
2000-09,263
2000-10,224
2000-11,75
2000-12,84
2001-01,195
2001-02,212
2001-03,225
2001-04,328
2001-05,251
2001-06,171
2001-07,211
2001-08,186
2001-09,77
2001-10,167
2001-11,288
2001-12,84
2002-01,100
2002-02,348
2002-03,308
2002-04,302
2002-05,185
2002-06,207
2002-07,245
2002-08,184
2002-09,105
2002-10,36
2002-11,75
2002-12,45
2003-01,112
2003-02,105
2003-03,224
2003-04,318
2003-05,107
2003-06,111
2003-07,198
2003-08,217
2003-09,88
2003-10,124
2003-11,97
2003-12,70
2004-01,111
2004-02,114
2004-03,424
2004-04,353
2004-05,122
2004-06,152
2004-07,178
2004-08,118
2004-09,76
2004-10,35
2004-11,29
2004-12,56
2005-01,133
2005-02,171
2005-03,356
2005-04,372
2005-05,160
2005-06,210
2005-07,281
2005-08,238
2005-09,214
2005-10,180
2005-11,276
2005-12,241
2006-01,394
2006-02,315
2006-03,707
2006-04,557
2006-05,254
2006-06,352
2006-07,455
2006-08,346
2006-09,155
2006-10,120
2006-11,96
2006-12,111
2007-01,99
2007-02,340
2007-03,524
2007-04,301
2007-05,279
2007-06,194
2007-07,368
2007-08,275
2007-09,137
2007-10,150
2007-11,117
2007-12,88
2008-01,218
2008-02,252
2008-03,391
2008-04,333
2008-05,176
2008-06,366
2008-07,263
2008-08,200
2008-09,116
2008-10,144
2008-11,138
2008-12,96
2009-01,217
2009-02,343
2009-03,423
2009-04,404
2009-05,159
2009-06,170
2009-07,238
2009-08,158
2009-09,95
2009-10,38
2009-11,69
2009-12,21
2010-01,77
2010-02,94
2010-03,320
2010-04,364
2010-05,133
2010-06,154
2010-07,179
2010-08,216
2010-09,212
2010-10,316
2010-11,141
2010-12,148
2011-01,170
2011-02,372
2011-03,356
2011-04,294
2011-05,227
2011-06,341
2011-07,287
2011-08,381
2011-09,255
2011-10,151
2011-11,104
2011-12,51
2012-01,137
2012-02,119
2012-03,277
2012-04,221
2012-05,164
2012-06,275
2012-07,362
2012-08,291
2012-09,142
2012-10,86
2012-11,144
2012-12,51
2013-01,83
2013-02,92
2013-03,303
2013-04,194
2013-05,167
2013-06,180
2013-07,185
2013-08,178
2013-09,107
2013-10,48
2013-11,87
2013-12,49
2014-01,191
2014-02,137
2014-03,295
2014-04,317
2014-05,160
2014-06,98
2014-07,220
2014-08,132
2014-09,67
2014-10,75
2014-11,108
2014-12,39
2015-01,145
2015-02,178
2015-03,269
2015-04,252
2015-05,164
2015-06,293
2015-07,173
2015-08,268
2015-09,123
2015-10,180
2015-11,84
2015-12,23
