group,fires
1992-01,0
1992-02,1
1992-03,2
1992-04,4
1992-05,10
1992-06,53
1992-07,34
1992-08,60
1992-09,9
1992-10,3
1992-11,0
1992-12,0
1993-01,0
1993-02,1
1993-03,0
1993-04,1
1993-05,23
1993-06,58
1993-07,69
1993-08,46
1993-09,4
1993-10,2
1993-11,1
1993-12,0
1994-01,0
1994-02,0
1994-03,2
1994-04,7
1994-05,18
1994-06,75
1994-07,146
1994-08,114
1994-09,19
1994-10,1
1994-11,1
1994-12,0
1995-01,0
1995-02,0
1995-03,2
1995-04,4
1995-05,10
1995-06,20
1995-07,67
1995-08,35
1995-09,28
1995-10,1
1995-11,0
1995-12,0
1996-01,0
1996-02,3
1996-03,0
1996-04,0
1996-05,9
1996-06,76
1996-07,85
1996-08,164
1996-09,26
1996-10,3
1996-11,1
1996-12,0
1997-01,0
1997-02,1
1997-03,2
1997-04,3
1997-05,13
1997-06,31
1997-07,71
1997-08,30
1997-09,13
1997-10,0
1997-11,1
1997-12,0
1998-01,1
1998-02,2
1998-03,1
1998-04,4
1998-05,9
1998-06,66
1998-07,70
1998-08,88
1998-09,18
1998-10,2
1998-11,1
1998-12,1
1999-01,0
1999-02,0
1999-03,4
1999-04,16
1999-05,34
1999-06,60
1999-07,52
1999-08,160
1999-09,19
1999-10,9
1999-11,3
1999-12,0
2000-01,2
2000-02,1
2000-03,8
2000-04,6
2000-05,41
2000-06,90
2000-07,185
2000-08,208
2000-09,63
2000-10,5
2000-11,0
2000-12,0
2001-01,0
2001-02,1
2001-03,3
2001-04,10
2001-05,25
2001-06,70
2001-07,93
2001-08,96
2001-09,27
2001-10,2
2001-11,0
2001-12,0
2002-01,1
2002-02,0
2002-03,6
2002-04,10
2002-05,31
2002-06,80
2002-07,140
2002-08,72
2002-09,6
2002-10,4
2002-11,1
2002-12,2
2003-01,0
2003-02,0
2003-03,2
2003-04,6
2003-05,12
2003-06,36
2003-07,88
2003-08,124
2003-09,18
2003-10,1
2003-11,0
2003-12,0
2004-01,0
2004-02,0
2004-03,2
2004-04,6
2004-05,11
2004-06,86
2004-07,90
2004-08,45
2004-09,4
2004-10,2
2004-11,0
2004-12,0
2005-01,6
2005-02,3
2005-03,9
2005-04,8
2005-05,15
2005-06,104
2005-07,132
2005-08,93
2005-09,34
2005-10,11
2005-11,9
2005-12,10
2006-01,6
2006-02,0
2006-03,7
2006-04,21
2006-05,53
2006-06,130
2006-07,211
2006-08,146
2006-09,35
2006-10,4
2006-11,0
2006-12,0
2007-01,0
2007-02,1
2007-03,7
2007-04,9
2007-05,39
2007-06,66
2007-07,232
2007-08,94
2007-09,16
2007-10,2
2007-11,1
2007-12,0
2008-01,2
2008-02,1
2008-03,2
2008-04,17
2008-05,9
2008-06,146
2008-07,66
2008-08,58
2008-09,5
2008-10,2
2008-11,0
2008-12,0
2009-01,1
2009-02,1
2009-03,5
2009-04,16
2009-05,47
2009-06,50
2009-07,97
2009-08,58
2009-09,21
2009-10,2
2009-11,1
2009-12,0
2010-01,4
2010-02,8
2010-03,9
2010-04,12
2010-05,42
2010-06,59
2010-07,66
2010-08,54
2010-09,13
2010-10,14
2010-11,1
2010-12,0
2011-01,0
2011-02,0
2011-03,5
2011-04,20
2011-05,42
2011-06,90
2011-07,92
2011-08,158
2011-09,61
2011-10,13
2011-11,0
2011-12,1
2012-01,1
2012-02,0
2012-03,9
2012-04,16
2012-05,24
2012-06,74
2012-07,167
2012-08,152
2012-09,29
2012-10,3
2012-11,1
2012-12,1
2013-01,0
2013-02,0
2013-03,1
2013-04,4
2013-05,15
2013-06,74
2013-07,73
2013-08,78
2013-09,16
2013-10,0
2013-11,1
2013-12,0
2014-01,2
2014-02,1
2014-03,1
2014-04,13
2014-05,15
2014-06,22
2014-07,93
2014-08,54
2014-09,11
2014-10,0
2014-11,2
2014-12,0
2015-01,0
2015-02,0
2015-03,6
2015-04,10
2015-05,24
2015-06,212
2015-07,72
2015-08,134
2015-09,12
2015-10,3
2015-11,2
2015-12,0
