state,year,numFires,mainCause,mainSize,mainClass,avePutout,mainVegType
Alabama,1992,7,Arson,10,B,0,16
Alabama,1993,6,Arson,6.65,B,0,16
Alabama,1994,131,Debris Burning,4,B,0,12
Alabama,1995,152,Debris Burning,4,B,0,16
Alabama,1996,161,Debris Burning,5,B,0,16
Alabama,1997,81,Arson,3,B,0,16
Alabama,1998,132,Arson,3.5,B,0,16
Alabama,1999,174,Arson,4.25,B,0,16
Alabama,2000,253,Arson,4.5,B,0,12
Alabama,2001,116,Arson,3.75,B,0,12
Alabama,2002,121,Debris Burning,5,B,0,12
Alabama,2003,61,Arson,3.5,B,0,16
Alabama,2004,109,Arson,8,B,0,12
Alabama,2005,104,Arson,6,B,0,12
Alabama,2006,172,Arson,7.8,B,0,16
Alabama,2007,150,Arson,5,B,0,16
Alabama,2008,76,Debris Burning,5,B,0,16
Alabama,2009,49,Debris Burning,9,B,0,12
Alabama,2010,132,Debris Burning,6,B,0,16
Alabama,2011,78,Miscellaneous,5.5,B,0,12
Alabama,2012,61,Miscellaneous,10,C,0,16
Alabama,2013,62,Miscellaneous,10,B,0,12
Alabama,2014,73,Miscellaneous,8.2,B,0,12
Alabama,2015,67,Miscellaneous,8,B,0,12
Alaska,1992,15,Lightning,50,B,32,0
Alaska,1993,45,Lightning,4800,G,35,0
Alaska,1994,26,Lightning,5934.5,G,37,0
Alaska,1995,7,Lightning,320,B,28,0
Alaska,1996,36,Lightning,6255,G,41,0
Alaska,1997,46,Lightning,5315,G,27,0
Alaska,1998,10,Lightning,1705.5,G,15,0
Alaska,1999,43,Lightning,7736,G,34,0
Alaska,2000,23,Lightning,11566,G,51,0
Alaska,2001,9,Arson,3260,G,42,0
Alaska,2002,58,Lightning,14366,G,44,0
Alaska,2003,21,Lightning,5595,G,29,0
Alaska,2004,83,Lightning,19815,G,75,0
Alaska,2005,100,Lightning,18632.45,G,55,0
Alaska,2006,10,Lightning,13700,G,31,0
Alaska,2007,37,Lightning,5192,G,38,0
